"Scan Date","Scan Method","Scan Source","Visibility","Submitter","Scan URL","Task URL","Task Domain","Task Apex Domain","Task Tags","Page Country","Page IP","Page PTR Record","Page ASN","Page AS Name","Page Server","Page URL","Page Domain","Page Apex Domain","Malicious","Brands","Labels"
"2025-08-05T13:53:18.976Z","api","","unlisted","sg","https://urlscan.io/result/01987a81-d47f-727e-990e-157dda9f0bc0/","http://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","","US","162.241.203.55","162-241-203-55.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","false","",""
"2025-08-05T13:26:21.310Z","api","","public","sg","https://urlscan.io/result/01987a69-2229-72c8-94d6-c885b69ae65c/","http://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","","US","162.241.203.55","162-241-203-55.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","false","",""
"2025-08-05T09:01:16.664Z","api","","public","sg","https://urlscan.io/result/01987976-8758-7668-9204-bae13d2cedf9/","http://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","","US","162.241.203.55","162-241-203-55.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","false","",""
"2025-08-05T08:03:21.658Z","api","","public","sg","https://urlscan.io/result/01987941-7852-756c-902c-3188dd339296/","http://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","","US","162.241.203.55","162-241-203-55.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","false","",""
"2025-08-04T22:42:21.347Z","api","","unlisted","sg","https://urlscan.io/result/0198773f-c918-75e4-bfc9-4f8733833d27/","http://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","","US","162.241.203.55","162-241-203-55.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","false","",""
"2025-08-04T21:26:17.686Z","api","","public","sg","https://urlscan.io/result/019876fa-43d7-75ba-a884-457b3177dc23/","http://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","","US","162.241.203.55","162-241-203-55.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://pedrosoandaimes.com.br/","pedrosoandaimes.com.br","pedrosoandaimes.com.br","false","",""
"2025-08-01T03:30:27.990Z","api","","public","us","https://urlscan.io/result/019863ae-250d-7545-8459-926518f1b8bb/","https://ramone.adv.br/","ramone.adv.br","ramone.adv.br","","US","108.179.192.92","br660-ip03.hostgator.com.br","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://ramone.adv.br/","ramone.adv.br","ramone.adv.br","false","","visual.person"
"2025-08-01T01:42:48.907Z","api","","public","us","https://urlscan.io/result/0198634b-45c1-733a-9a52-115189add35f/","https://ramone.adv.br/","ramone.adv.br","ramone.adv.br","","US","108.179.192.92","br660-ip03.hostgator.com.br","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://ramone.adv.br/","ramone.adv.br","ramone.adv.br","false","","visual.person"
"2025-07-28T17:42:59.189Z","manual","","public","br","https://urlscan.io/result/01985221-4cb8-776a-9fd8-de5b317d6716/","http://invistaemcataguases.com.br/venda-para-o-municipio/emissao-de-certidoes/","invistaemcataguases.com.br","invistaemcataguases.com.br","","BR","2a02:4780:13:1178:0:6af:339b:6","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","LiteSpeed","https://invistaemcataguases.com.br/venda-para-o-municipio/emissao-de-certidoes/","invistaemcataguases.com.br","invistaemcataguases.com.br","false","",""
"2025-07-27T10:52:18.027Z","api","","public","us","https://urlscan.io/result/01984b82-e9e3-723c-83cc-04e56ded6d54/","https://asas-sa.co/","asas-sa.co","asas-sa.co","falconsandbox","US","192.232.216.178","192-232-216-178.unifiedlayer.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://asas-sa.co/","asas-sa.co","asas-sa.co","false","",""
